Sofia (Observ (42.65N, 23.38E) 608156140000           GHCN V3 adj - homogenized

YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1993   -0.71   -2.21    3.59    9.99   15.29   19.19   21.39   21.99   16.79   13.79    1.59    2.48   -1.38    9.62   20.86   10.72    9.96
1994    1.68    0.78    7.48   11.78   15.88   18.28   20.88   22.18   20.98   10.88    5.08    0.56    1.65   11.71   20.45   12.31   11.53
1995   -1.94    4.56    4.56    9.66   13.66   18.46   20.66   18.86   14.86   10.26    1.56    1.45    1.06    9.29   19.33    8.89    9.64
1996   -2.25   -2.05   -0.45    9.15   16.55   20.15   21.25   20.35   12.65    9.55    6.95    1.74   -0.95    8.42   20.58    9.72    9.44
1997   -0.16    2.14    3.44    5.14   16.04   19.54   20.04   18.14   14.64    8.04    5.14    0.13    1.24    8.21   19.24    9.27    9.49
1998    1.13    3.43    2.53   12.73   14.33   19.63   21.83   21.73   14.73   11.23    3.33   -4.09    1.56    9.86   21.06    9.76   10.56
1999   -0.89   -0.39    5.81   11.01   15.21   18.71   21.21   21.61   17.31   11.21    4.51    2.10   -1.79   10.68   20.51   11.01   10.10
2000   -4.50    1.20    5.20   12.80   16.30   19.40   22.80   22.60   15.70   10.80    8.70    2.30   -0.40   11.43   21.60   11.73   11.09
2001    0.80    1.80    9.80    9.50   15.10   17.60   21.90   22.30   16.70   13.00    4.00   -5.20    1.63   11.47   20.60   11.23   11.23
2002   -2.10    4.90    7.40    8.90   15.80   20.00   21.90   19.20   14.90   10.70    6.30   -0.30   -0.80   10.70   20.37   10.63   10.22
2003    0.20   -3.80    3.60    8.50   17.90   21.10   21.40   22.60   15.20   10.20    6.60    0.20   -1.30   10.00   21.70   10.67   10.27
2004   -2.30    1.90    5.40   11.40   13.40   18.40   20.80   20.10   17.10   12.80    6.10    1.90   -0.07   10.07   19.77   12.00   10.44
2005    0.60   -1.60    3.90   10.40   15.30   17.80   20.40   19.00   16.00   10.20    4.30    1.70    0.30    9.87   19.07   10.17    9.85
2006   -2.70   -0.40    5.00   11.00   15.30   18.00   20.40   20.60   16.50   12.00    5.40    0.40   -0.47   10.43   19.67   11.30   10.23
2007    4.40    3.80    6.80   11.50   16.60   20.70   23.70   21.20   14.50   10.60    2.80   -0.60    2.87   11.63   21.87    9.30   11.42
2008   -1.60    2.70    7.60   12.50   15.70   19.80   21.20   23.00   15.60   11.80    6.20    2.50    0.17   11.93   21.33   11.20   11.16
2009   -0.90    0.60    4.90   11.20   16.30   19.20   21.50   20.70   16.30   11.10    7.40    2.80    0.73   10.80   20.47   11.60   10.90
2010    0.10    1.60    5.50   10.50   15.70   18.60   21.20   22.50   16.30    8.60   10.20    0.60    1.50   10.57   20.77   11.70   11.13
2011   -1.40    0.00    5.00    9.80   14.80   19.10   21.90   21.40   19.30    9.20    2.60    1.30   -0.27    9.87   20.80   10.37   10.19
2012   -2.20   -3.80    6.50   11.90   14.80   21.50   25.00   22.80   18.90   13.80    7.60   -0.80   -1.57   11.07   23.10   13.43   11.51
2013    0.60    2.70    5.30   12.30   18.50   18.70   20.80   22.80   16.20   11.60    7.10    0.30    0.83   12.03   20.77   11.63   11.32
2014    0.90    5.00    7.90   10.60   14.40   18.20   20.40   21.20   15.80   11.20    6.20    1.70    2.07   10.97   19.93   11.07   11.01
2015    0.60    1.50    4.40    9.80   17.00   17.60   23.40   22.40   18.70   10.30    8.70    2.10    1.27   10.40   21.13   12.57   11.34
2016   -0.90    7.20    6.90   13.90   14.20   20.60   22.30   20.90   17.10   10.30    5.20   -0.50    2.80   11.67   21.27   10.87   11.65
