year,month,val
2002,5,0.249
2002,6,0.301
2002,7,0.232
2002,8,0.179
2002,9,0.204
2002,10,0.073
2002,11,0.21
2002,12,0.147
2003,1,0.34
2003,2,0.254
2003,3,0.145
2003,4,0.151
2003,5,0.207
2003,6,-0.004
2003,7,0.076
2003,8,0.092
2003,9,0.144
2003,10,0.284
2003,11,0.171
2003,12,0.376
2004,1,0.212
2004,2,0.248
2004,3,0.353
2004,4,0.137
2004,5,0.077
2004,6,-0.002
2004,7,-0.233
2004,8,-0.099
2004,9,0.015
2004,10,0.146
2004,11,0.06
2004,12,0.048
2005,1,0.295
2005,2,0.176
2005,3,0.187
2005,4,0.325
2005,5,0.132
2005,6,0.15
2005,7,0.221
2005,8,0.101
2005,9,0.246
2005,10,0.268
2005,11,0.204
2005,12,0.084
2006,1,0.15
2006,2,0.172
2006,3,0.155
2006,4,0.071
2006,5,-0.089
2006,6,0.057
2006,7,0.111
2006,8,0.127
2006,9,0.141
2006,10,0.222
2006,11,0.074
2006,12,0.169
2007,1,0.428
2007,2,0.191
2007,3,0.257
2007,4,0.142
2007,5,0.144
2007,6,0.13
2007,7,0.183
2007,8,0.202
2007,9,0.119
2007,10,0.121
2007,11,0.041
2007,12,-0.036
2008,1,-0.22
2008,2,-0.134
2008,3,-0.138
2008,4,-0.127
2008,5,-0.26
2008,6,-0.179
2008,7,-0.099
2008,8,-0.161
2008,9,0.018
2008,10,0.002
2008,11,0.064
2008,12,0.021
2009,1,0.107
2009,2,0.125
2009,3,0.03
2009,4,-0.014
2009,5,-0.057
2009,6,-0.165
2009,7,0.212
2009,8,0.062
2009,9,0.268
2009,10,0.17
2009,11,0.279
2009,12,0.116
2010,1,0.501
2010,2,0.461
2010,3,0.513
2010,4,0.324
2010,5,0.412
2010,6,0.309
2010,7,0.327
2010,8,0.344
2010,9,0.372
2010,10,0.201
2010,11,0.164
2010,12,0.086
2011,1,-0.065
2011,2,-0.056
2011,3,-0.184
2011,4,-0.036
2011,5,0.003
2011,6,0.141
2011,7,0.199
2011,8,0.158
2011,9,0.171
2011,10,-0.048
2011,11,-0.019
2011,12,0.002
2012,1,-0.199
2012,2,-0.225
2012,3,-0.038
2012,4,0.109
2012,5,0.055
2012,6,0.136
2012,7,0.016
