year,month,val
1924,6,-0.23
1924,7,-0.22
1924,8,-0.29
1924,9,-0.28
1924,10,-0.29
1924,11,-0.29
1924,12,-0.39
1925,1,-0.32
1925,2,-0.28
1925,3,-0.17
1925,4,-0.16
1925,5,-0.22
1925,6,-0.23
1925,7,-0.21
1925,8,-0.14
1925,9,-0.1
1925,10,-0.13
1925,11,0.06
1925,12,0.14
1926,1,0.17
1926,2,0.08
1926,3,0.08
1926,4,-0.14
1926,5,-0.13
1926,6,-0.12
1926,7,-0.16
1926,8,-0.09
1926,9,-0.1
1926,10,-0.08
1926,11,-0.08
1926,12,-0.22
1927,1,-0.17
1927,2,-0.19
1927,3,-0.26
1927,4,-0.22
1927,5,-0.23
1927,6,-0.2
1927,7,-0.1
1927,8,-0.11
1927,9,-0.03
1927,10,0.01
1927,11,-0.04
1927,12,-0.31
1928,1,-0.08
1928,2,-0.15
1928,3,-0.26
1928,4,-0.24
1928,5,-0.19
1928,6,-0.28
1928,7,-0.18
1928,8,-0.2
1928,9,-0.19
1928,10,-0.13
1928,11,-0.07
1928,12,-0.17
1929,1,-0.48
1929,2,-0.55
1929,3,-0.27
1929,4,-0.3
1929,5,-0.29
1929,6,-0.27
1929,7,-0.27
1929,8,-0.21
1929,9,-0.21
1929,10,-0.12
1929,11,-0.1
1929,12,-0.52
1930,1,-0.32
1930,2,-0.2
1930,3,-0.05
1930,4,-0.2
1930,5,-0.2
1930,6,-0.11
1930,7,-0.07
1930,8,-0.09
1930,9,-0.1
1930,10,0
1930,11,0.14
1930,12,0.01
1931,1,-0.05
1931,2,-0.22
1931,3,-0.01
1931,4,-0.16
1931,5,-0.15
1931,6,-0.02
1931,7,-0.02
1931,8,0
1931,9,0
1931,10,0.01
1931,11,-0.11
1931,12,-0.11
1932,1,0.15
1932,2,-0.18
1932,3,-0.18
1932,4,-0.03
1932,5,-0.17
1932,6,-0.16
1932,7,-0.12
1932,8,-0.18
1932,9,-0.07
1932,10,-0.09
1932,11,-0.19
1932,12,-0.19
1933,1,-0.31
1933,2,-0.32
1933,3,-0.25
1933,4,-0.2
1933,5,-0.21
1933,6,-0.2
1933,7,-0.18
1933,8,-0.19
1933,9,-0.22
1933,10,-0.19
1933,11,-0.25
1933,12,-0.41
1934,1,-0.31
1934,2,-0.02
1934,3,-0.26
1934,4,-0.23
1934,5,-0.04
1934,6,0
1934,7,-0.09
1934,8,-0.05
1934,9,-0.12
1934,10,-0.07
1934,11,0.01
1934,12,-0.03
1935,1,-0.29
1935,2,0.17
1935,3,-0.15
1935,4,-0.26
1935,5,-0.2
1935,6,-0.17
1935,7,-0.12
1935,8,-0.1
1935,9,-0.09
1935,10,-0.01
1935,11,-0.27
1935,12,-0.18
1936,1,-0.25
1936,2,-0.31
1936,3,-0.21
1936,4,-0.18
1936,5,-0.12
1936,6,-0.11
1936,7,-0.01
1936,8,-0.06
1936,9,-0.04
1936,10,-0.02
1936,11,-0.03
1936,12,-0.02
1937,1,-0.17
1937,2,0.04
1937,3,-0.18
1937,4,-0.13
1937,5,-0.02
1937,6,0.01
1937,7,0
1937,8,0.09
1937,9,0.13
1937,10,0.11
1937,11,0.01
1937,12,-0.09
1938,1,-0.04
1938,2,-0.05
1938,3,0.03
1938,4,0.04
1938,5,-0.02
1938,6,-0.09
1938,7,-0.05
1938,8,-0.01
1938,9,0.03
1938,10,0.07
1938,11,0
1938,12,-0.25
1939,1,-0.17
1939,2,-0.11
1939,3,-0.19
1939,4,-0.13
1939,5,-0.04
1939,6,-0.01
1939,7,0.01
1939,8,0.06
1939,9,0.01
1939,10,-0.04
1939,11,0.04
1939,12,0.41
1940,1,-0.12
1940,2,0.05
1940,3,0.07
1940,4,0.13
1940,5,0.06
1940,6,0.1
1940,7,0.15
1940,8,0.09
1940,9,0.15
1940,10,0.1
1940,11,0.1
1940,12,0.27
1941,1,0.18
1941,2,0.23
1941,3,0.1
1941,4,0.22
1941,5,0.24
1941,6,0.16
1941,7,0.21
1941,8,0.17
1941,9,0.09
1941,10,0.31
1941,11,0.22
1941,12,0.21
1942,1,0.3
1942,2,0.1
1942,3,0.18
1942,4,0.19
1942,5,0.17
1942,6,0.21
1942,7,0.08
1942,8,0.04
1942,9,0.12
1942,10,0.15
1942,11,0.17
1942,12,0.15
1943,1,-0.02
1943,2,0.17
1943,3,0.08
1943,4,0.17
1943,5,0.13
1943,6,0.02
1943,7,0.18
1943,8,0.1
1943,9,0.14
1943,10,0.31
1943,11,0.25
1943,12,0.35
1944,1,0.42
1944,2,0.3
1944,3,0.37
1944,4,0.27
1944,5,0.26
1944,6,0.33
1944,7,0.31
1944,8,0.28
1944,9,0.39
1944,10,0.32
1944,11,0.15
1944,12,0.1
1945,1,0.15
1945,2,0.01
1945,3,0.11
1945,4,0.28
1945,5,0.18
1945,6,0.14
1945,7,0.17
1945,8,0.35
1945,9,0.26
1945,10,0.26
1945,11,0.2
1945,12,-0.05
1946,1,0.22
1946,2,0.09
1946,3,0
1946,4,0.18
1946,5,-0.03
1946,6,-0.1
1946,7,-0.04
1946,8,-0.07
1946,9,-0.02
1946,10,-0.01
1946,11,-0.01
1946,12,-0.26
1947,1,-0.18
1947,2,-0.08
1947,3,-0.01
1947,4,0.01
1947,5,-0.02
1947,6,0.02
1947,7,-0.01
1947,8,-0.06
1947,9,-0.13
1947,10,0.05
1947,11,-0.02
1947,12,-0.15
1948,1,0.05
1948,2,-0.09
1948,3,-0.18
1948,4,-0.06
1948,5,0.14
1948,6,-0.02
1948,7,-0.06
1948,8,-0.03
1948,9,-0.1
1948,10,-0.07
1948,11,-0.06
1948,12,-0.11
1949,1,0.12
1949,2,-0.15
1949,3,-0.07
1949,4,0.01
1949,5,-0.01
1949,6,-0.15
1949,7,-0.08
1949,8,-0.02
1949,9,-0.07
1949,10,-0.03
1949,11,-0.05
1949,12,-0.18
1950,1,-0.28
1950,2,-0.24
1950,3,-0.09
1950,4,-0.17
1950,5,-0.05
1950,6,-0.06
1950,7,-0.11
1950,8,-0.14
1950,9,-0.1
1950,10,-0.17
1950,11,-0.36
1950,12,-0.18
1951,1,-0.29
1951,2,-0.41
1951,3,-0.17
1951,4,-0.09
1951,5,0.06
1951,6,0.04
1951,7,0.11
1951,8,0.11
1951,9,0.13
1951,10,0.11
1951,11,0.03
1951,12,0.21
1952,1,0.15
1952,2,0.09
1952,3,-0.05
1952,4,0.07
1952,5,0.03
1952,6,0.04
1952,7,0.07
1952,8,0.06
1952,9,0.07
1952,10,-0.04
1952,11,-0.2
1952,12,-0.01
1953,1,0.1
1953,2,0.15
1953,3,0.15
1953,4,0.19
1953,5,0.14
1953,6,0.12
1953,7,0.07
1953,8,0.08
1953,9,0.06
1953,10,0.07
1953,11,-0.06
1953,12,0.06
1954,1,-0.24
1954,2,-0.09
1954,3,-0.09
1954,4,-0.18
1954,5,-0.2
1954,6,-0.12
1954,7,-0.12
1954,8,-0.09
1954,9,-0.06
1954,10,-0.07
1954,11,0.04
1954,12,-0.19
1955,1,0.09
1955,2,-0.13
1955,3,-0.31
1955,4,-0.24
1955,5,-0.13
1955,6,-0.07
1955,7,-0.09
1955,8,-0.03
1955,9,-0.09
1955,10,-0.12
1955,11,-0.24
1955,12,-0.27
1956,1,-0.18
1956,2,-0.27
1956,3,-0.2
1956,4,-0.28
1956,5,-0.23
1956,6,-0.14
1956,7,-0.13
1956,8,-0.19
1956,9,-0.25
1956,10,-0.2
1956,11,-0.16
1956,12,-0.15
1957,1,-0.12
1957,2,-0.11
1957,3,-0.07
